SJIS,UTF-8
8140,E38080
8141,E38081
8142,E38082
8143,EFBC8C
8144,EFBC8E
8145,E383BB
8146,EFBC9A
8147,EFBC9B
8148,EFBC9F
8149,EFBC81
814A,E3829B
814B,E3829C
814C,C2B4
814D,EFBD80
814E,C2A8
814F,EFBCBE
8150,EFBFA3
8151,EFBCBF
8152,E383BD
8153,E383BE
8154,E3829D
8155,E3829E
8156,E38083
8157,E4BB9D
8158,E38085
8159,E38086
815A,E38087
815B,E383BC
815C,E28095
815D,E28090
815E,EFBC8F
815F,5C
8160,E3809C
8161,E28096
8162,EFBD9C
8163,E280A6
8164,E280A5
8165,E28098
8166,E28099
8167,E2809C
8168,E2809D
8169,EFBC88
816A,EFBC89
816B,E38094
816C,E38095
816D,EFBCBB
816E,EFBCBD
816F,EFBD9B
8170,EFBD9D
8171,E38088
8172,E38089
8173,E3808A
8174,E3808B
8175,E3808C
8176,E3808D
8177,E3808E
8178,E3808F
8179,E38090
817A,E38091
817B,EFBC8B
817C,E28892
817D,C2B1
817E,C397
8180,C3B7
8181,EFBC9D
8182,E289A0
8183,EFBC9C
8184,EFBC9E
8185,E289A6
8186,E289A7
8187,E2889E
8188,E288B4
8189,E29982
818A,E29980
818B,C2B0
818C,E280B2
818D,E280B3
818E,E28483
818F,EFBFA5
8190,EFBC84
8191,C2A2
8192,C2A3
8193,EFBC85
8194,EFBC83
8195,EFBC86
8196,EFBC8A
8197,EFBCA0
8198,C2A7
8199,E29886
819A,E29885
819B,E2978B
819C,E2978F
819D,E2978E
819E,E29787
819F,E29786
81A0,E296A1
81A1,E296A0
81A2,E296B3
81A3,E296B2
81A4,E296BD
81A5,E296BC
81A6,E280BB
81A7,E38092
81A8,E28692
81A9,E28690
81AA,E28691
81AB,E28693
81AC,E38093
81AD,------
81AE,------
81AF,------
81B0,------
81B1,------
81B2,------
81B3,------
81B4,------
81B5,------
81B6,------
81B7,------
81B8,E28888
81B9,E2888B
81BA,E28A86
81BB,E28A87
81BC,E28A82
81BD,E28A83
81BE,E288AA
81BF,E288A9
81C0,------
81C1,------
81C2,------
81C3,------
81C4,------
81C5,------
81C6,------
81C7,------
81C8,E288A7
81C9,E288A8
81CA,C2AC
81CB,E28792
81CC,E28794
81CD,E28880
81CE,E28883
81CF,------
81D0,------
81D1,------
81D2,------
81D3,------
81D4,------
81D5,------
81D6,------
81D7,------
81D8,------
81D9,------
81DA,E288A0
81DB,E28AA5
81DC,E28C92
81DD,E28882
81DE,E28887
81DF,E289A1
81E0,E28992
81E1,E289AA
81E2,E289AB
81E3,E2889A
81E4,E288BD
81E5,E2889D
81E6,E288B5
81E7,E288AB
81E8,E288AC
81E9,------
81EA,------
81EB,------
81EC,------
81ED,------
81EE,------
81EF,------
81F0,E284AB
81F1,E280B0
81F2,E299AF
81F3,E299AD
81F4,E299AA
81F5,E280A0
81F6,E280A1
81F7,C2B6
81F8,------
81F9,------
81FA,------
81FB,------
81FC,E297AF
8240,------
8241,------
8242,------
8243,------
8244,------
8245,------
8246,------
8247,------
8248,------
8249,------
824A,------
824B,------
824C,------
824D,------
824E,------
824F,EFBC90
8250,EFBC91
8251,EFBC92
8252,EFBC93
8253,EFBC94
8254,EFBC95
8255,EFBC96
8256,EFBC97
8257,EFBC98
8258,EFBC99
8259,------
825A,------
825B,------
825C,------
825D,------
825E,------
825F,------
8260,EFBCA1
8261,EFBCA2
8262,EFBCA3
8263,EFBCA4
8264,EFBCA5
8265,EFBCA6
8266,EFBCA7
8267,EFBCA8
8268,EFBCA9
8269,EFBCAA
826A,EFBCAB
826B,EFBCAC
826C,EFBCAD
826D,EFBCAE
826E,EFBCAF
826F,EFBCB0
8270,EFBCB1
8271,EFBCB2
8272,EFBCB3
8273,EFBCB4
8274,EFBCB5
8275,EFBCB6
8276,EFBCB7
8277,EFBCB8
8278,EFBCB9
8279,EFBCBA
827A,------
827B,------
827C,------
827D,------
827E,------
8280,------
8281,EFBD81
8282,EFBD82
8283,EFBD83
8284,EFBD84
8285,EFBD85
8286,EFBD86
8287,EFBD87
8288,EFBD88
8289,EFBD89
828A,EFBD8A
828B,EFBD8B
828C,EFBD8C
828D,EFBD8D
828E,EFBD8E
828F,EFBD8F
8290,EFBD90
8291,EFBD91
8292,EFBD92
8293,EFBD93
8294,EFBD94
8295,EFBD95
8296,EFBD96
8297,EFBD97
8298,EFBD98
8299,EFBD99
829A,EFBD9A
829B,------
829C,------
829D,------
829E,------
829F,E38181
82A0,E38182
82A1,E38183
82A2,E38184
82A3,E38185
82A4,E38186
82A5,E38187
82A6,E38188
82A7,E38189
82A8,E3818A
82A9,E3818B
